id;name;entity_name;table_name;clazz_name;jhi_system;generated;creat_at;generate_at;generate_class_at;description;creator_id;business_type_id;tree_table
1;用户表;User;jhi_user;User;true;true;2019-10-30 05:49:43.000000000;2019-10-29 16:15:50.000000000;2019-10-29 17:38:10.000000000;用户表;3;1;false
2;历史任务实例;HistoryTaskInstance;t_his_task_ins;HistoryTaskInstance;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;历史任务实例;3;8;false
3;上传文件;UploadFile;upload_file;UploadFile;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;上传文件;3;2;false
4;上传图片;UploadImage;upload_image;UploadImage;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;上传图片;3;2;false
5;数据字典;DataDictionary;data_dictionary;DataDictionary;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;数据字典;3;4;true
6;GPS信息;GpsInfo;gps_info;GpsInfo;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;GPS信息;3;4;false
7;行政区划;AdministrativeDivision;administrative_division;AdministrativeDivision;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;行政区划;3;4;true
8;角色;Authority;authority;Authority;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;角色\n采用自分组的形式,采用向下包含关系，选中本节点继承父层并包含本节点内容及其所有子节点内容。;3;1;true
9;可视权限;ViewPermission;view_permission;ViewPermission;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;可视权限\n权限分为菜单权限、按钮权限等\n;3;1;true
10;API权限;ApiPermission;api_permission;ApiPermission;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;API权限\n菜单或按钮下有相关的api权限;3;1;true
11;模型;CommonTable;common_table;CommonTable;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;模型;3;9;false
12;模型字段;CommonTableField;common_table_field;CommonTableField;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;模型字段;3;9;false
13;模型关系;CommonTableRelationship;common_table_relationship;CommonTableRelationship;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;模型关系;3;9;false
14;通用扩展数据;CommonExtData;common_ext_data;CommonExtData;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用扩展数据;3;9;false
15;通用整数;CommonInteger;common_integer;CommonInteger;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用整数\n;3;9;false
16;通用长整;CommonLong;common_long;CommonLong;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用长整\n;3;9;false
17;通用布尔;CommonBoolean;common_boolean;CommonBoolean;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用布尔\n;3;9;false
18;通用字符串;CommonString;common_string;CommonString;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用字符串\n;3;9;false
19;通用日期时间;CommonZonedDateTime;common_zoned_date_time;CommonZonedDateTime;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用日期时间\n;3;9;false
20;通用单精度;CommonFloat;common_float;CommonFloat;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用单精度\n;3;9;false
21;通用双精度;CommonDouble;common_double;CommonDouble;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用双精度\n;3;9;false
22;通用长文本;CommonTextBlob;common_text_blob;CommonTextBlob;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用长文本\n;3;9;false
23;通用日期;CommonLocalDate;common_local_date;CommonLocalDate;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用日期\n;3;9;false
24;通用大数;CommonBigDecimal;common_big_decimal;CommonBigDecimal;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;通用大数\n;3;9;false
25;客户单位;CompanyCustomer;company_customer;CompanyCustomer;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;客户单位\n安装设备的客户公司;3;3;true
26;人员账号;CompanyUser;company_user;CompanyUser;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;人员账号\n客户方人员账号;3;3;false
27;客户业务;CompanyBusiness;company_business;CompanyBusiness;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;客户业务\n客户公司开通业务;3;3;false
28;业务类型;BusinessType;business_type;BusinessType;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;业务类型;3;3;false
29;报表存储;UReportFile;u_report_file;UReportFile;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;报表存储;3;10;false
30;流程业务配置;ProcessTableConfig;process_table_config;ProcessTableConfig;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;流程业务配置;3;8;false
31;流程表单;ProcessFormConfig;process_form_config;ProcessFormConfig;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;流程表单;3;8;false
32;流程与实体关联;ProcessEntityRelation;process_entity_relation;ProcessEntityRelation;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;流程与实体关联;3;8;false
33;请假;Leave;jhi_leave;Leave;true;true;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;2019-10-30 05:49:43.000000000;请假;3;8;false